title,rating,year,genre,director
Ford v Ferrari,8.1,,"A|c|t|i|o|n|,| |B|i|o|g|r|a|p|h|y|,| |D|r|a|m|a",
Mr. Smith Goes to Washington,8.1,,"C|o|m|e|d|y|,| |D|r|a|m|a",
Smultronstället,8.1,,"D|r|a|m|a|,| |R|o|m|a|n|c|e",
The Third Man,8.1,,"F|i|l|m|-|N|o|i|r|,| |M|y|s|t|e|r|y|,| |T|h|r|i|l|l|e|r",
Logan,8.1,,"A|c|t|i|o|n|,| |D|r|a|m|a|,| |S|c|i|-|F|i",
Rocky,8.1,,"D|r|a|m|a|,| |S|p|o|r|t",
Tôkyô monogatari,8.1,,D|r|a|m|a,
The Big Lebowski,8.1,,"C|o|m|e|d|y|,| |C|r|i|m|e",
Det sjunde inseglet,8.1,,"D|r|a|m|a|,| |F|a|n|t|a|s|y",
Spotlight,8.1,,"B|i|o|g|r|a|p|h|y|,| |C|r|i|m|e|,| |D|r|a|m|a",
Room,8.1,,"D|r|a|m|a|,| |T|h|r|i|l|l|e|r",
The Terminator,8.1,,"A|c|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |S|c|i|-|F|i",
Hotel Rwanda,8.1,,"B|i|o|g|r|a|p|h|y|,| |D|r|a|m|a|,| |H|i|s|t|o|r|y",
Platoon,8.1,,"D|r|a|m|a|,| |W|a|r",
Pirates of the Caribbean: The Curse of the Black Pearl,8.1,,"A|c|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |F|a|n|t|a|s|y",
La haine,8.1,,"C|r|i|m|e|,| |D|r|a|m|a",
Before Sunset,8.1,,"D|r|a|m|a|,| |R|o|m|a|n|c|e",
Jai Bhim,8.7,,"C|r|i|m|e|,| |D|r|a|m|a",
The Best Years of Our Lives,8.1,,"D|r|a|m|a|,| |R|o|m|a|n|c|e|,| |W|a|r",
La passion de Jeanne d&apos;Arc,8.1,,"B|i|o|g|r|a|p|h|y|,| |D|r|a|m|a|,| |H|i|s|t|o|r|y",
The Exorcist,8.1,,H|o|r|r|o|r,
The Wizard of Oz,8.1,,"A|d|v|e|n|t|u|r|e|,| |F|a|m|i|l|y|,| |F|a|n|t|a|s|y",
The Incredibles,8.0,,"A|n|i|m|a|t|i|o|n|,| |A|c|t|i|o|n|,| |A|d|v|e|n|t|u|r|e",
Rush,8.1,,"B|i|o|g|r|a|p|h|y|,| |D|r|a|m|a|,| |S|p|o|r|t",
Network,8.1,,D|r|a|m|a,
Stand by Me,8.1,,"A|d|v|e|n|t|u|r|e|,| |C|o|m|e|d|y|,| |D|r|a|m|a",
Hachi: A Dog&apos;s Tale,8.1,,"B|i|o|g|r|a|p|h|y|,| |D|r|a|m|a|,| |F|a|m|i|l|y",
The Sound of Music,8.1,,"B|i|o|g|r|a|p|h|y|,| |D|r|a|m|a|,| |F|a|m|i|l|y",
Un condamné à mort s&apos;est échappé ou Le vent souffle où il veut,8.2,,"D|r|a|m|a|,| |T|h|r|i|l|l|e|r|,| |W|a|r",
Babam ve Oglum,8.2,,"D|r|a|m|a|,| |F|a|m|i|l|y",
Ah-ga-ssi,8.1,,"D|r|a|m|a|,| |R|o|m|a|n|c|e|,| |T|h|r|i|l|l|e|r",
To Be or Not to Be,8.1,,"C|o|m|e|d|y|,| |R|o|m|a|n|c|e|,| |W|a|r",
Into the Wild,8.1,,"A|d|v|e|n|t|u|r|e|,| |B|i|o|g|r|a|p|h|y|,| |D|r|a|m|a",
La battaglia di Algeri,8.1,,"D|r|a|m|a|,| |W|a|r",
The Iron Giant,8.1,,"A|n|i|m|a|t|i|o|n|,| |A|c|t|i|o|n|,| |A|d|v|e|n|t|u|r|e",
The Grapes of Wrath,8.1,,D|r|a|m|a,
Groundhog Day,8.0,,"C|o|m|e|d|y|,| |D|r|a|m|a|,| |F|a|n|t|a|s|y",
Amores perros,8.0,,"D|r|a|m|a|,| |T|h|r|i|l|l|e|r",
Rebecca,8.1,,"D|r|a|m|a|,| |M|y|s|t|e|r|y|,| |R|o|m|a|n|c|e",
The Help,8.1,,D|r|a|m|a,
Koe no katachi,8.1,,"A|n|i|m|a|t|i|o|n|,| |D|r|a|m|a",
Cool Hand Luke,8.0,,"C|r|i|m|e|,| |D|r|a|m|a",
